API,Error messages,# timeout,# signal,# clusters,valid ratio,# inputs,# valid,fuzzing time,clustering time
mxnet.ndarray.op.cosh,"* Argument data must have NDArray type, but got 4587594399415794731
* object of type 'int' has no len()
* Argument data must have NDArray type, but got [Tu%wEPl3Y
* Argument data must have NDArray type, but got T&3C""D0/Vjr`p0?23ay#eaY[U<pcMSpD|B=NjbD&-*#X
* Argument data must have NDArray type, but got TzBoT%E$6=i+T]",0,484,34,0.17000000000000004,880,149,4868.27,0.27
mxnet.ndarray.op.ctc_loss,"* Argument label must have NDArray type, but got 87
* object of type 'int' has no len()
* Argument data must have NDArray type, but got }l1JDn]rAmz1|-bj%0}7i+?,GO%Vyo~l=MQ4@$]t0#~>e>HPk7g,fcD61hz2/4Rjo~{<i&LQ,P~4T.IR+q]I.Bu[_J5V^ko[g@m
* Argument label must have NDArray type, but got v_cN2s4~B2hB>saHYuLeEYIRF@MF_wIR
* Argument label must have NDArray type, but got r~Caf, -]>lJoc;Y6@IEBVKpwW:jAt[%6Rf""(hX",0,645,59,0.0,992,0,6488.21,0.44
mxnet.ndarray.op.ctcloss,"* Argument data must have NDArray type, but got -2.896822630635258e+38
* object of type 'float' has no len()
* Argument label must have NDArray type, but got 42AkkR#%
* Argument label must have NDArray type, but got &9-j.Y[/duk}9Rh[,(//%(}eFtW6	,'U@d~Yd7m*>Mo
* Argument data must have NDArray type, but got 57Aw.>K#:{{->dp7TN49&H-9u,zg<#^|Kj4klT_E2 aEiaWSu	""8T",0,648,74,0.0,993,0,6518.09,0.45
mxnet.ndarray.op.cumsum,N/A - no exception,0,265,0,0.07999999999999996,444,35,N/A,N/A
mxnet.ndarray.op.custom,"* object of type 'float' has no len()
* 'str' object has no attribute 'handle'",0,858,2,0.0,988,0,8620.09,0.09
mxnet.ndarray.op.deconvolution,"* Argument data must have NDArray type, but got 32667
* object of type 'float' has no len()
* Argument data must have NDArray type, but got z>=boALqK,rB#&8p:t""unF}Q*S]m):.3Vi9ZhY-""
* Argument data must have NDArray type, but got 2*?0~@9U{1+Fw""bZz\'w >:e`\F'<UG4
* Argument data must have NDArray type, but got I&VUbp|!L4T +RF3)]{]LT]J6gZMKrT%}5gTl2",0,600,69,0.0,1000,0,6076.05,0.91
mxnet.ndarray.op.degrees,"* Argument data must have NDArray type, but got -1330986279
* object of type 'bool' has no len()
* Argument data must have NDArray type, but got x	R5<z5u
* Argument data must have NDArray type, but got -sw+	*.aff+P	2\QdMQ$RGHGdVE7o2t/4jpy%lw;]^4ZBq}</TuH=LHav^#.o@X\{hOnE/Dp>J:4Dg69W;JxkzcbNx9fLfEnc!*F#4I*WUKm9z3/K/Dr+Be9m |V*k>A&!UR-D3Ftm`
* Argument data must have NDArray type, but got hqAG#'K9,A[VH",0,458,45,0.18000000000000005,885,163,4609.74,0.38
mxnet.ndarray.op.depth_to_space,"* Argument data must have NDArray type, but got 2.3089310272326824e+307
* object of type 'int' has no len()
* Argument data must have NDArray type, but got <(>Ck*E*2J~,SUX@!t\'fR1_+m3b
* Argument data must have NDArray type, but got ^o15dT5OWL2H>	Y8 i;ayY8<I$G!QO.?5)	WPaD27@uJ'uOR9|v#uNmY=9fw_F`Kv`w]s5GDM>8BKWbOu4-Bqg/3G4\:-yTZSi/h',i~pUs>fQP]?YyV<jvV[>u/_a1}eY^Nld^ANe:pE
* Argument data must have NDArray type, but got KHkxGfO",0,734,39,0.0,999,0,7381.0,0.37
mxnet.ndarray.op.diag,"* Argument data must have NDArray type, but got False
* object of type 'int' has no len()
* Argument data must have NDArray type, but got DypsM${Wtjsy2O;n(
* Argument data must have NDArray type, but got )/k5KB?g/<u1IiiamU$NE!ig:nPhXX!4Mr<P;fQN:
* Argument data must have NDArray type, but got (x*Z<_k~+.",0,734,37,0.010000000000000009,1000,9,7373.93,0.39
mxnet.ndarray.op.dot,"* Argument lhs must have NDArray type, but got 1.3168569263836524e+38
* object of type 'float' has no len()
* Argument lhs must have NDArray type, but got [F[:'PDN^9cFo{
* Argument rhs must have NDArray type, but got o-si~RzZ?G7p/%D-
* Argument lhs must have NDArray type, but got aV=eg4EtaKAxhJh7pz_Cvg>r",0,595,74,0.0,960,4,5984.81,0.69
mxnet.ndarray.op.dropout,"* Argument data must have NDArray type, but got -17
* object of type 'bool' has no len()
* Argument data must have NDArray type, but got #?
* Argument data must have NDArray type, but got XmU.>M
* Argument data must have NDArray type, but got  *""jVgUpOAr\",0,742,34,0.0,1000,0,7452.85,0.32
mxnet.ndarray.op.elementwisesum,"* object of type 'int' has no len()
* 'str' object has no attribute 'handle'",0,862,2,0.0,974,0,8657.9,0.06
mxnet.ndarray.op.elemwise_add,"* Argument rhs must have NDArray type, but got 37233.4334458034
* object of type 'bool' has no len()
* Argument rhs must have NDArray type, but got @l~),J>|s
* Argument lhs must have NDArray type, but got }Hap:3M=6]TT!,?Bgvih
* Argument lhs must have NDArray type, but got O\:IcVdlO~1O*RrqhIG+}wAV,WMXflO!miia~J2d!(!5 }$]eZc	.FFfaz98WQe^E{RtK;5"" I<xWA	",0,600,66,0.0,951,0,6034.35,0.69
mxnet.ndarray.op.elemwise_div,"* Argument rhs must have NDArray type, but got -6079
* object of type 'float' has no len()
* Argument lhs must have NDArray type, but got gD1Iuy:3GZyv=""S""""[
* Argument rhs must have NDArray type, but got ]p2U&Es.mtj.ca#nOvUjuF
* Argument lhs must have NDArray type, but got T}saaJ5<!xT<>I:XQ@YbH?4m;V}b{4h_ilB<0",0,576,70,0.0,941,1,5793.42,0.74
mxnet.ndarray.op.elemwise_mul,"* Argument lhs must have NDArray type, but got -1704032300
* object of type 'float' has no len()
* Argument lhs must have NDArray type, but got ehUnNjQ$AK|~QBn/<L;llFhCKR~`FspNt@GI^~mUeT;ftVD+}:U}HO@x)
* Argument rhs must have NDArray type, but got @CfBAB /ej3Lf1g8v#]l(j
* Argument lhs must have NDArray type, but got i>2\NErA""6u|y*^|YP)SDl""E(F T:N(Np6:$($:l''q/YOmtvT-szv9$y$",0,591,84,0.0,931,1,5942.6,0.53
mxnet.ndarray.op.elemwise_sub,"* Argument rhs must have NDArray type, but got 24
* object of type 'int' has no len()
* Argument lhs must have NDArray type, but got (Q,?A=fy7MRY%8ss`zgN
* Argument lhs must have NDArray type, but got /O~r3%`X	qJt'`s~#F{Kz+Jp.qq+zlx7 upFo@a5OZd?Hc/
* Argument lhs must have NDArray type, but got e%Mfyv(I)w[ Ll`1Es	;+8txT}QN^SN'ZNFQaq/4iDD""!]0[SD@J` &ou	A//UIBZNi4%B~z?]\@Aw _gLGhdez'73.7he+Y}p8e =UV|6&Ap^R{]3+53'8;(3>-=,nj+aHkqfIRhv~[yBFen+~)@`XtT1p)RRgp^ln*g1bTh._: WlBXJ2&L'n~'2T<x)5o]k0?L|x-?[ISOA_?~ (F5hj3Q].1|",0,608,71,0.0,943,1,6113.97,0.61
mxnet.ndarray.op.embedding,"* Argument data must have NDArray type, but got True
* object of type 'int' has no len()
* Argument data must have NDArray type, but got :}z:Vnpb	Rt?""CxN6Ism:\8X -wJDqnYGI~.6Xv""PG6H0q>VG*cU@$QsSAqxBH[U8TwubPKRlWye+X]1g?qppg
* Argument data must have NDArray type, but got 3#>?<.Y.NZikj""pC}}^'6`N
* Argument data must have NDArray type, but got lxnzWzS	m#e\MO3/>`<Fc",0,649,41,0.0,1000,0,6539.53,0.52
mxnet.ndarray.op.erf,"* Argument data must have NDArray type, but got -4562
* object of type 'float' has no len()
* Argument data must have NDArray type, but got ^ssR
* Argument data must have NDArray type, but got f\=~oO~kw*/}#&0)a1mevx&kBAnH5U(*leoe]s!`7ulPP[`=r-bAgtr uA_. o+?^O'|Z>sOVCjIWSr`}n! |ps"")h_B-<9&PFO0)Zj_1igFIx>1'-W%	0z|f<MT(;524PF`1-Y!J) b@*,%O@>q>jjvP@)t*v?/c;>[lA53WCEhfpJM[my[$g*X^(+`AYYK|$a_D<GB'^) :C*MqYT0Csz+<=JpFqSOI5qnOFxh\b|A/+;AUPG& N0
* Argument data must have NDArray type, but got 5SB&1kb!@G+h;o]|Jcu\>5f	ls5+zHB#_{WhNtT0)R/EV%K""[y*WJ(R?7",0,446,36,0.19999999999999996,865,175,4486.11,0.28
mxnet.ndarray.op.erfinv,"* Argument data must have NDArray type, but got 104
* object of type 'int' has no len()
* Argument data must have NDArray type, but got Y(xYF,+Zv@0?sjru5:W/h~yAJwRzO,c	VE;8c:0?/G~\xJOs+jD)0QJ%wKT:lKN<nW#EG9Pc0-jDvdrR3sEi^9(j/k$cGc,k?JhtQRxu	BUCp'r$iX{+s#7;- ^	AY>rT2qEsu3Eu( s?iN(1{NH	`@6Mhl\8hEqOy*v'q 7Z'`h@%,*	LHLv_BNa'$Qx8n|3eLZn< HQ|Ub+NySh8aLR`]aO_V{B1G=Z>
* Argument data must have NDArray type, but got 3=_;*
* Argument data must have NDArray type, but got =LVd[t4",0,500,36,0.18000000000000005,872,154,5026.85,0.26
mxnet.ndarray.op.exp,"* Argument data must have NDArray type, but got -46329.23741174389
* object of type 'int' has no len()
* Argument data must have NDArray type, but got 9%""04B7[Y
* Argument data must have NDArray type, but got 9*Le#Z{1o.;@GwZgYZd
* Argument data must have NDArray type, but got ?NY-)D,HDf#6s>|a\A",0,452,43,0.20999999999999996,874,183,4546.62,0.25
mxnet.ndarray.op.expand_dims,"* Argument data must have NDArray type, but got >hzyAf[.a	PUu
* object of type 'int' has no len()
* Argument data must have NDArray type, but got Yu8ozWiIXd""0ufolV7B#<%X?tGN&
* Argument data must have NDArray type, but got 2g#;- :cbjk+{fW=pO
* Argument data must have NDArray type, but got =*eN=1}_22R]JF3A/r=~1M3X""NH m<!nmHNlb*~8@YLF9T;r2@ktrlvk^AOMrIK",0,745,38,0.0,992,2,7481.11,0.28
mxnet.ndarray.op.expm1,"* Argument data must have NDArray type, but got -1930002423
* object of type 'int' has no len()
* Argument data must have NDArray type, but got L%f[,.XW`\S!""	""B$
* Argument data must have NDArray type, but got B&n>Xi
* Argument data must have NDArray type, but got `yO4RO!}?6?TJu(^~6[(;2D)#{/^*f>",0,452,39,0.18000000000000005,845,151,4545.17,0.28
mxnet.ndarray.op.fill_element_0index,"* Argument rhs must have NDArray type, but got 7921.910704307476
* object of type 'int' has no len()
* Argument mhs must have NDArray type, but got *p Y?M~[*e2J>""Z)`06""Gpiz;<{/V,CHVgw*cob,H+_<2^z[Y~XFUK+u|Qx~+Gy_}E1Brg7',k*F-11
* Argument lhs must have NDArray type, but got u4*?IA
* Argument lhs must have NDArray type, but got ngZ!h^0X=FP^r^O8V6-i,k9 <i",0,547,82,0.0,972,0,5506.21,0.79
mxnet.ndarray.op.fix,"* Argument data must have NDArray type, but got -22342
* object of type 'int' has no len()
* Argument data must have NDArray type, but got rh5w3 ^H}F`Sm?
* Argument data must have NDArray type, but got Rh%$""z7'66zlRGPe>o`JI/""*S^/u>,	|)
* Argument data must have NDArray type, but got egB'eJO_6#jS?%8:XJ]#{&5gf'|H",0,494,26,0.18999999999999995,887,172,4967.02,0.2
mxnet.ndarray.op.flatten,"* Argument data must have NDArray type, but got 24978
* object of type 'int' has no len()
* Argument data must have NDArray type, but got WZ9?y/ndRm\
* Argument data must have NDArray type, but got QR<Rxwcx}w.M`91r<
* Argument data must have NDArray type, but got .yOM7[es4{x;!,fnX56j0Yk[Y$-k=n445rwMF29 |Rjvf^yb\T%b(6(+""%$kF7^IGZ/ahH%b&wd:i",0,477,40,0.17000000000000004,859,145,4796.57,0.24
mxnet.ndarray.op.flip,"* Argument data must have NDArray type, but got True
* object of type 'int' has no len()
* Argument data must have NDArray type, but got |/`M`q4f
* Argument data must have NDArray type, but got 8Gr,S`U;~UC.)06e%f;	Aj{T}xFU[-/~U=/6'(I%ww;!27}a\B$&ajU
* Argument data must have NDArray type, but got 0W+a9?K/",0,621,39,0.12,995,122,6239.54,0.33
mxnet.ndarray.op.floor,"* Argument data must have NDArray type, but got 2052660126
* object of type 'int' has no len()
* Argument data must have NDArray type, but got \[Ba[
* Argument data must have NDArray type, but got SAh0{jPergrkd1+BK:s
* Argument data must have NDArray type, but got 	^:",0,472,37,0.18999999999999995,876,168,4746.74,0.25
mxnet.ndarray.op.ftml_update,"* Argument d must have NDArray type, but got -1174375188
* object of type 'float' has no len()
* Argument grad must have NDArray type, but got /wa0?
* Argument grad must have NDArray type, but got 3B}YPubm4_V?3,yT#E{,X/]*$n]kYC~_;[UA<>:]7TWaFBp6[z 	HvhWYaGHaeGUCKk?)T	Gd1w,9""
* Argument z must have NDArray type, but got lih9nM\niHEFJ[W;*A%w3:o/",0,451,92,0.0,1000,0,4554.63,1.26
mxnet.ndarray.op.ftrl_update,"* Argument weight must have NDArray type, but got 54
* object of type 'bool' has no len()
* Argument n must have NDArray type, but got ~dfqesDItlij
* Argument n must have NDArray type, but got ""aMntJ`R'bUghQCC}RNE/q
* Argument z must have NDArray type, but got LS2qW ~cB=/YybaO",0,524,74,0.0,1000,0,5282.28,1.0
mxnet.ndarray.op.fullyconnected,"* Argument weight must have NDArray type, but got 1593113306
* object of type 'int' has no len()
* Argument data must have NDArray type, but got -k1fMK:e_}JK_nU4E,W:3b~>EBb*B7#7FUQ0d ~S1.""e1yHBw y""f?`
* Argument data must have NDArray type, but got =f~9qCOVA2cH""R8,xsg_I?B+YcE->)d3P]FY|8vS@&)B!cMYy	*umG@#5\7>&`O356`39~I>;63Jj' SY8-}'	M\S1bS=3WOG8nCC#%0|7#PH`M|jL.a:HY4_A/.TmGY>v[
* Argument data must have NDArray type, but got ",0,593,64,0.0,1000,0,5968.73,0.71
mxnet.ndarray.op.gamma,"* Argument data must have NDArray type, but got 58809.5957094913
* object of type 'int' has no len()
* Argument data must have NDArray type, but got `
* Argument data must have NDArray type, but got ?0r(NMc:]ik_mCHUZ~eR1)h+0aVzlR|"")MCVMFUBf:&<_frjb^=B|'=$MWA{Lr#u8*F~._{RU$<r45ud;$ @n%k^9q"" 4J%G3M	iTc14_> 
* Argument data must have NDArray type, but got [wvhz~va""_^lz'%mmSt,g-FO<vDC-k|{H",0,474,31,0.18000000000000005,876,154,4765.98,0.28
mxnet.ndarray.op.gammaln,"* Argument data must have NDArray type, but got -2.2635131064814884e+307
* object of type 'int' has no len()
* Argument data must have NDArray type, but got `vAdn>D^zx4@y	inKE+U2I|IKVV,ILPJ1d;>v""moe
* Argument data must have NDArray type, but got eq4vA
* Argument data must have NDArray type, but got #qX xH(9Ee3N}P@9,'+2\""*kw!QA]9Z|[*P$Z,mHLD{[}Y*!$a+;6Rzb~	gcIL D~r!!CPf+UR{YGMT))AUu8B]att]A:e+(zPnc#@Az/PL~}=+_@kgtW'?wk<0fK2ENO	c",0,481,35,0.18999999999999995,880,165,4836.38,0.23
mxnet.ndarray.op.gather_nd,N/A - no exception,0,355,0,0.010000000000000009,517,4,N/A,N/A
mxnet.ndarray.op.gridgenerator,"* Argument data must have NDArray type, but got -446601190221252886
* object of type 'float' has no len()
* Argument data must have NDArray type, but got X#""/=&!$e&=DTMX]]SqfTpPd<$uxltQ2GiDB]nf<}UMe,8pdw}E-0FL""""uWt$Wt
* Argument data must have NDArray type, but got 
* Argument data must have NDArray type, but got TqlaJZ'5yD|*v`if%riinN`~uPxc;@KSj`RFekK",0,762,31,0.0,1000,2,7653.02,0.27
mxnet.ndarray.op.groupnorm,"* Argument gamma must have NDArray type, but got 14217
* object of type 'float' has no len()
* Argument data must have NDArray type, but got Sv,NO+9f9r
* Argument data must have NDArray type, but got o7|y@Y8&bf
* Argument gamma must have NDArray type, but got 	cdwS&U\~+[w@lB;ZhF7Fw[DID.?fraz?9p	lTNjf2b$+t[c",0,584,84,0.0,1000,0,5877.32,0.82
mxnet.ndarray.op.hard_sigmoid,"* Argument data must have NDArray type, but got 5942462184317632137
* object of type 'bool' has no len()
* Argument data must have NDArray type, but got z<p<[	[7n""{w(g :d*t
* Argument data must have NDArray type, but got 	6r$/`S/mKS
* Argument data must have NDArray type, but got <'bi""@Q}d7",0,696,39,0.06999999999999995,1000,74,6989.37,0.29
mxnet.ndarray.op.identity,"* Argument data must have NDArray type, but got 4.3946568808948634e+307
* object of type 'float' has no len()
* Argument data must have NDArray type, but got TDzI[x1fcm	5vD,	?`a_Ljx* :31$8~f,J?UsJEoGHzd]6+p-&r@e8T>mr-Sul57,,u_.~^_i+ITuuh|gxzTjxpqVIkZ$.Sz9uUv
* Argument data must have NDArray type, but got k'gN:	JF9 Zm3;(]k]Y_$
* Argument data must have NDArray type, but got \A!{}&lr+7_7UY}U G	bdUSuo?K&M",0,463,31,0.18000000000000005,836,149,4653.9,0.27
mxnet.ndarray.op.identityattachklsparsereg,"* Argument data must have NDArray type, but got 1930
* object of type 'float' has no len()
* Argument data must have NDArray type, but got xdmrD	>-mjjk%pXz%m?t:'Y1*Uazkj2:~c?n>!A>mL|iJU+D#p[,)4]
* Argument data must have NDArray type, but got dW#ZS4""ZrcmZ
* Argument data must have NDArray type, but got :,[bX/nk	' W|3?@eMtX](B{fe{/8ZOcw=Y~bPS|uPbHH_s :Q8pt6B'MC;&m/a#U;@B'b^;q(TxX%A;czk8ekXgZTf<FmZU<#r^JSjCn&W<	,pF(G:",0,750,34,0.0,1000,0,7533.54,0.29
mxnet.ndarray.op.instancenorm,N/A - no exception,0,664,0,0.020000000000000018,890,22,N/A,N/A
mxnet.ndarray.op.khatri_rao,"* object of type 'int' has no len()
* 'str' object has no attribute 'handle'",0,842,2,0.0,976,0,8457.63,0.09
mxnet.ndarray.op.l2normalization,"* Argument data must have NDArray type, but got 54450172370530970
* object of type 'bool' has no len()
* Argument data must have NDArray type, but got xOwwZb&a3VGHUU&wZUV_Y1
* Argument data must have NDArray type, but got 9noTtWS
* Argument data must have NDArray type, but got L:%y)Jp6MM",0,676,48,0.07999999999999996,1000,76,6790.48,0.31
mxnet.ndarray.op.lamb_update_phase1,"* Argument mean must have NDArray type, but got 4.4294976617499944e+307
* object of type 'int' has no len()
* Argument grad must have NDArray type, but got [v;1 F,CiqW>S&&u/z0bpB &6aI4&#(u(=tQTPT\zyiS~>_w
* Argument grad must have NDArray type, but got 1tT=S>&&xlTca""Lq t[nOwyz%&7yd=calc)U)#ue=@dZ3.])!!/Zw<EvJ*D|>idgn
* Argument grad must have NDArray type, but got J'Xn&4>",0,567,34,0.0,1000,0,5728.37,0.76
mxnet.ndarray.op.lamb_update_phase2,"* Argument g must have NDArray type, but got 6.620030424045318e+307
* object of type 'bool' has no len()
* Argument r2 must have NDArray type, but got IE	zKexT7E5D\oetZcckW3&r&^8w@%jCZ]t0X
* Argument r2 must have NDArray type, but got oC/=<*-I^J^]Yq=	4FpG)waY&99PV`X!16>_{.f-(;}l.gE#cD2O[>}`%:e`YI`sJi/d
* Argument r1 must have NDArray type, but got F&Ds@A^w'Hpadi3b%7w-.#vFaUDw`muT6mA""9u%CW*tO(/)",0,505,87,0.0,1000,0,5090.9,1.0
mxnet.ndarray.op.layernorm,"* Argument beta must have NDArray type, but got -22723.566454640284
* object of type 'int' has no len()
* Argument beta must have NDArray type, but got @b;>J	i3""VbUp}(mGbeJ|z9KeoPIizyP_Q4vxFO'm)o7	^m``nqV9@sf2!ZK	5oR)gi50fFRC{=cx*XHAh9"",N|<^
* Argument data must have NDArray type, but got w!2wBtLE4}ZNcIx7	IRk5A2ZH~L
* Argument data must have NDArray type, but got iX]rSNY~+4pFIJ4kVa0",0,587,85,0.0,1000,1,5909.19,0.75
mxnet.ndarray.op.leakyrelu,"* Argument gamma must have NDArray type, but got -4448007042775485943
* object of type 'float' has no len()
* Argument data must have NDArray type, but got &y>> mY!X!p	bl4hJA
* Argument data must have NDArray type, but got P5B	<-t9&%_@5iD)q|uhwQgc<|Pbc+dy{5=vK7,u'_4:]BDfwI`F+
* Argument gamma must have NDArray type, but got k/aY/B`uLR3hpo",0,613,68,0.040000000000000036,1000,41,6165.29,0.53
mxnet.ndarray.op.linalg_det,"* Argument A must have NDArray type, but got 8rZgZ.qk8Z<Zs~wUU`Q.R%KNlm9K5P""uD0Qz|ug075P5DF@ZgaBRD6y0v*~ZH}o7=@c/*v`QnNL""r9L4iz6\
* object of type 'float' has no len()
* Argument A must have NDArray type, but got Ab('EAuwP[=lF)-
* Argument A must have NDArray type, but got %}	PdimXa3JvE\t~	-Gz""La*gPyo]6a-n0\\t}pL4M
* Argument A must have NDArray type, but got .}VUm9Yz:g*rF7scusr$OxMZvqx5",0,491,23,0.25,855,213,4937.17,0.12
mxnet.ndarray.op.linalg_extractdiag,"* Argument A must have NDArray type, but got Zd&cmxTjL,+emmFo@[O5Z/X6$&1c5B]gMO8e?4>C),p]E|
* object of type 'float' has no len()
* Argument A must have NDArray type, but got tw2[20Z?>`4VxGmq
* Argument A must have NDArray type, but got z|	
* Argument A must have NDArray type, but got eGMNEr1K[Z",0,830,28,0.0,996,4,8334.45,0.1
mxnet.ndarray.op.linalg_extracttrian,"* Argument A must have NDArray type, but got 9odvNmUEC|Ccw]R2Jdko>hG\)^EuvR<`B	
* object of type 'bool' has no len()
* Argument A must have NDArray type, but got HPEs+07Oj(^om]I8F-5
* Argument A must have NDArray type, but got iyXgnrA&/+f g bZr%hQ9;#!`s5Ri+z$#>`Y^7p(:2P?@/
* Argument A must have NDArray type, but got .wH4NtO@K=#&7eru^t`Dsn%(?",0,838,38,0.0,997,3,8415.51,0.14
mxnet.ndarray.op.linalg_gelqf,"* Argument A must have NDArray type, but got -2170827133352413117
* object of type 'int' has no len()
* Argument A must have NDArray type, but got /&d7wjHjQ5#	QoZf]m4
* Argument A must have NDArray type, but got m&z\|SJ}N_aE'}n$x9w<!NzP.!
* Argument A must have NDArray type, but got pSfPG[Pa\z/""*uv$uwK63Q/ii+K1y>|p9e	9",0,564,35,0.06999999999999995,873,63,5668.82,0.29
mxnet.ndarray.op.linalg_gemm,"* Argument A must have NDArray type, but got 72
* object of type 'float' has no len()
* Argument B must have NDArray type, but got t,s\[Rtn$V4'MSwuyij0]d'Z|%BAk_TYyE$)~AHJ<^>""VK| yqN$=(!|li_HiV%Gt.-2!Hu^ZaD hA-r^sTKTlCBPLK&@a#OG4&[:Z(x;Nr}M
* Argument B must have NDArray type, but got 7'Hh^U*%xs=Xo!&CmLwS[-m|dCVV89)$6Qt>4~r%%_cf{Af0KjQpb34>l
* Argument B must have NDArray type, but got {YHp&kV!k?\c|!v/O/0Q}EvaJ](e(,6ekB	AoUdBbaXbGN\8=.(mF2{",0,548,88,0.0,1000,0,5518.12,0.91
mxnet.ndarray.op.linalg_gemm2,"* Argument A must have NDArray type, but got -75
* object of type 'int' has no len()
* Argument A must have NDArray type, but got -P.utHng%b4CC~\R'e)~[v%v`eEJO>s)[_T}}=)>O{,]PeJBPGi&-@f
* Argument B must have NDArray type, but got 
* Argument B must have NDArray type, but got W/?KN",0,656,52,0.0,1000,0,6595.92,0.49
mxnet.ndarray.op.linalg_inverse,"* Argument A must have NDArray type, but got 
* object of type 'int' has no len()
* Argument A must have NDArray type, but got pUUy_	kaJq9'""V	ZQqz'\Kjz2VbRC|!CSADPT 5P$'Y1{hCN*;1;p;XlB3Ys Sqj!MXdV^2r%R1-	
* Argument A must have NDArray type, but got gEThg5v1:74wB:oUmo@Hv!*98y#i!;KFd'0\ 6KRR$f#a.""@\AYwRWy|1)	vv$e^iD	Cq'?p8+vx1R&t?f#]DFitS,}gy:=+
* Argument A must have NDArray type, but got a	['|MG~]4/@ MHy2jV2%m4d^-v",0,442,41,0.26,854,218,4444.58,0.19
mxnet.ndarray.op.linalg_makediag,N/A - no exception,0,270,0,0.08999999999999997,406,38,N/A,N/A
mxnet.ndarray.op.linalg_maketrian,N/A - no exception,0,335,0,0.020000000000000018,463,10,N/A,N/A
mxnet.ndarray.op.linalg_potrf,N/A - no exception,0,232,0,0.12,365,43,N/A,N/A
mxnet.ndarray.op.linalg_potri,N/A - no exception,0,160,0,0.15000000000000002,291,43,N/A,N/A
mxnet.ndarray.op.linalg_slogdet,"* Argument A must have NDArray type, but got gegbP\n!>$\ K~""6aRaUj=-?E '$h	g7'bjSeQv$i
* object of type 'int' has no len()
* Argument A must have NDArray type, but got Ot!M)n""Z2x B2M-
* Argument A must have NDArray type, but got Lj2]f&TM""2Y
* Argument A must have NDArray type, but got fPe*;L:8/1`yz]z{01NEx*S2\p{XW=s+Afuy}TQ6fr;{9UZ/JEWytT",0,445,52,0.28,866,245,4476.69,0.17
mxnet.ndarray.op.linalg_sumlogdiag,"* object of type 'int' has no len()
* 'str' object has no attribute 'handle'
* Argument A must have NDArray type, but got \DlyxkfF-9HV|CN
* Argument A must have NDArray type, but got 1I>9S
* Argument A must have NDArray type, but got UibHx0`y3`/1&!6w",0,487,36,0.25,871,222,4899.68,0.13
mxnet.ndarray.op.linalg_syrk,"* Argument A must have NDArray type, but got 39633415
* object of type 'int' has no len()
* Argument A must have NDArray type, but got <#[HcYM*vJ`@YMZ70Bix(2NRq0  gL
* Argument A must have NDArray type, but got u#udu|.|70}hF5eKR7WXdjfl*_?EXG~$gH-~DrpN0@
* Argument A must have NDArray type, but got %EFWPyi<M<p@!+ny`(}7E)uQOIE[n[Bx.:7""GNNmq2n.QE&ToE |W;rJ(9'",0,639,31,0.12,1000,123,6494.97,0.54
mxnet.ndarray.op.linalg_trmm,"* Argument B must have NDArray type, but got -1.7808530142922228e+307
* object of type 'int' has no len()
* Argument A must have NDArray type, but got mrH@VA/J7f_J
* Argument A must have NDArray type, but got {GC'_VP'
* Argument B must have NDArray type, but got &^&	C$1pT8)1hdK|R~P",0,645,61,0.0,1000,0,6572.21,1.15
mxnet.ndarray.op.linalg_trsm,"* Argument A must have NDArray type, but got -21
* object of type 'int' has no len()
* Argument B must have NDArray type, but got P%\~*SP$^K~7V~q<?`m4.n^TB	(`^|aD
* Argument A must have NDArray type, but got 3SwpafipvYKedK{q01Y`@s4$@x md8B0B3gBVN6y$ee}OoL&:5
* Argument B must have NDArray type, but got dUIk	s1VolGA{%c{x.QF{;b[gG6RZ\EPxB:Mr(X",0,632,76,0.0,1000,0,6439.07,1.03
mxnet.ndarray.op.linearregressionoutput,"* Argument data must have NDArray type, but got True
* object of type 'int' has no len()
* Argument data must have NDArray type, but got T,r|vOM2i@ MGl$/REq%j%y^`U{-k[
* Argument label must have NDArray type, but got ()s""RIme93e?I!'J=^[a`&n]<\<TL.5R<^~mE.Fzi1}^/_WU76}
* Argument data must have NDArray type, but got 5ZYf_'!kx D?@KWlsuE|il",0,671,56,0.0,1000,0,6821.82,0.8
mxnet.ndarray.op.log,"* Argument data must have NDArray type, but got True
* object of type 'int' has no len()
* Argument data must have NDArray type, but got s1_<%Lkk;1MONK
* Argument data must have NDArray type, but got :3Dl9Z{
* Argument data must have NDArray type, but got JR3kmxRX+jy5r@",0,443,35,0.19999999999999996,870,177,4519.31,0.5
mxnet.ndarray.op.log10,"* Argument data must have NDArray type, but got 3
* object of type 'float' has no len()
* Argument data must have NDArray type, but got $ss{E*@/(Q-cH(w9|Gy
* Argument data must have NDArray type, but got 
* Argument data must have NDArray type, but got 4F4R^jV)M!wUH#v`OhZ0< 2#2+'MLf9cLw3^v|]~""P]YR7mQ2%o$BtY	.b`o!pg\TF\xR6g9edwjc",0,479,31,0.18000000000000005,875,159,4890.23,0.41
